Unnamed: 0,Rank,Player,Age,Events,Rounds,Cuts Made,Top 10s,Wins,Earnings,Yards/Drive,Driving Accuracy,Greens in Regulation,Putting Average,Sand Save Pct,Eagles,Birdies,Pars,Bogies
112,113.0,Sung-hoon Kang,35.37433155080214,29.0,87.0,16.0,2.0,0.0,979576.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,11.0,295.0,1004.0,226.0
113,114.0,Lucas Glover,38.0,23.0,75.0,15.0,2.0,0.0,948928.0,298.3,64.4,71.6,1.77,42.6,5.0,284.0,870.0,160.0
114,115.0,Troy Merritt,32.0,26.0,77.0,12.0,1.0,0.0,922707.0,287.2,60.9,63.1,1.75,53.4,6.0,271.0,871.0,205.0
115,116.0,Soren Kjeldsen,42.0,12.0,40.0,10.0,2.0,0.0,921468.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
116,117.0,Graham DeLaet,36.0,21.0,66.0,13.0,3.0,0.0,908557.0,297.9,60.1,68.4,1.77,44.3,7.0,249.0,723.0,177.0
117,118.0,Zac Blair,35.37433155080214,31.0,95.0,18.0,2.0,0.0,903459.0,275.3,69.9,62.3,1.79,48.4,3.0,305.0,1125.0,238.0
118,119.0,Keegan Bradley,31.0,26.0,82.0,15.0,2.0,0.0,899985.0,300.0,64.6,69.6,1.81,41.0,6.0,286.0,943.0,212.0
119,120.0,Derek Fathauer,32.0,30.0,94.0,19.0,1.0,0.0,898430.0,288.2,52.0,62.0,1.75,46.1,2.0,332.0,1059.0,266.0
120,121.0,Anirban Lahiri,30.0,21.0,69.0,16.0,1.0,0.0,835171.0,291.7,56.3,62.9,1.76,43.6,6.0,239.0,768.0,206.0
121,122.0,David Toms,51.0,19.0,62.0,12.0,1.0,0.0,774522.0,269.7,68.0,65.5,1.8,57.5,,,,
122,123.0,Ken Duke,49.0,20.0,54.0,8.0,2.0,0.0,773025.0,280.2,64.2,59.3,1.78,44.7,7.0,177.0,568.0,204.0
123,124.0,Blayne Barber,28.0,27.0,80.0,15.0,1.0,0.0,768585.0,289.6,62.4,66.7,1.78,51.5,7.0,282.0,907.0,221.0
124,125.0,Steve Marino,38.0,24.0,68.0,12.0,2.0,0.0,768200.0,292.0,58.5,66.0,1.79,49.6,3.0,238.0,772.0,180.0
125,126.0,Bud Cauley,28.0,15.0,48.0,9.0,3.0,0.0,760430.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,7.0,183.0,529.0,118.0
126,127.0,Luke List,33.0,27.0,77.0,12.0,2.0,0.0,751001.0,306.9,51.0,67.2,1.79,54.4,6.0,289.0,866.0,199.0
127,128.0,Retief Goosen,49.0,16.0,55.0,12.0,0.0,0.0,745735.0,288.8,56.4,62.7,1.75,53.2,3.0,186.0,643.0,141.0
128,129.0,Chad Collins,39.0,26.0,73.0,10.0,1.0,0.0,734548.0,279.3,57.4,62.4,1.78,52.4,5.0,225.0,862.0,196.0
129,130.0,Morgan Hoffmann,28.0,25.0,67.0,10.0,1.0,0.0,717890.0,294.4,57.8,63.3,1.76,51.4,12.0,238.0,742.0,174.0
130,131.0,Matthew Fitzpatrick,23.0,12.0,34.0,7.0,2.0,0.0,713917.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,3.0,109.0,380.0,111.0
131,132.0,Matt Jones,38.0,27.0,80.0,15.0,0.0,0.0,712723.0,294.8,57.6,64.0,1.77,50.8,4.0,283.0,899.0,220.0
132,133.0,Tim Wilkinson,39.0,22.0,68.0,13.0,1.0,0.0,708623.0,279.3,62.4,64.7,1.76,56.1,3.0,245.0,789.0,169.0
133,134.0,Martin Kaymer,33.0,10.0,34.0,9.0,1.0,0.0,701140.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,3.0,120.0,361.0,118.0
134,135.0,Shawn Stefani,36.0,29.0,87.0,15.0,1.0,0.0,698102.0,292.1,58.4,66.5,1.81,51.5,8.0,272.0,1041.0,211.0
135,136.0,Scott Stallings,33.0,27.0,70.0,10.0,1.0,0.0,697434.0,295.5,57.0,66.1,1.78,38.5,5.0,241.0,802.0,196.0
136,137.0,Greg Chalmers,44.0,12.0,33.0,5.0,0.0,0.0,695188.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,85.0,402.0,88.0
137,138.0,Whee Kim,26.0,27.0,78.0,13.0,2.0,0.0,682662.0,287.6,63.5,65.7,1.8,42.0,5.0,253.0,908.0,208.0
138,139.0,Kiradech Aphibarnrat,28.0,11.0,32.0,7.0,1.0,0.0,680450.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,6.0,104.0,341.0,105.0
139,140.0,Willy Wilcox,31.0,23.0,65.0,11.0,2.0,0.0,676841.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,6.0,229.0,733.0,179.0
140,141.0,Tyrrell Hatton,26.0,5.0,18.0,4.0,2.0,0.0,674788.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,57.0,235.0,25.0
141,142.0,Michael Kim,24.0,29.0,96.0,21.0,0.0,0.0,664539.0,284.3,58.6,63.0,1.77,57.8,4.0,333.0,1101.0,259.0
142,143.0,Seung-yul Noh,26.0,28.0,81.0,15.0,1.0,0.0,661711.0,295.3,49.1,64.5,1.76,52.9,5.0,289.0,910.0,221.0
143,144.0,Padraig Harrington,46.0,16.0,54.0,11.0,1.0,0.0,654929.0,289.6,60.7,63.0,1.78,57.8,4.0,189.0,613.0,150.0
144,145.0,Mark Hubbard,35.37433155080214,30.0,97.0,20.0,0.0,0.0,642942.0,280.2,64.8,63.5,1.77,53.7,9.0,333.0,1110.0,259.0
145,146.0,Hiroshi Iwata,37.0,29.0,83.0,14.0,1.0,0.0,634862.0,288.8,58.3,59.5,1.76,55.4,12.0,263.0,951.0,232.0
146,147.0,Nick Taylor,30.0,26.0,79.0,15.0,1.0,0.0,628756.0,296.2,57.2,65.8,1.77,45.2,10.0,272.0,912.0,203.0
147,148.0,Ben Crane,42.0,27.0,77.0,13.0,1.0,0.0,607892.0,280.3,63.2,63.6,1.76,56.6,3.0,264.0,894.0,209.0
148,149.0,Steve Wheatcroft,40.0,26.0,81.0,15.0,1.0,0.0,601164.0,286.2,60.3,61.9,1.77,43.4,8.0,267.0,931.0,221.0
149,150.0,Chris Stroud,36.0,27.0,80.0,16.0,1.0,0.0,599176.0,286.3,60.7,66.6,1.76,40.9,9.0,279.0,918.0,211.0
150,151.0,Kyle Stanley,30.0,28.0,89.0,17.0,0.0,0.0,580734.0,288.1,64.5,67.2,1.77,41.7,8.0,307.0,1014.0,240.0
151,152.0,Andres Gonzales,34.0,28.0,78.0,12.0,1.0,0.0,579667.0,294.7,54.6,66.2,1.79,48.7,4.0,277.0,873.0,208.0
152,153.0,Martin Piller,35.37433155080214,22.0,57.0,8.0,2.0,0.0,570740.0,286.6,59.0,64.3,1.78,58.2,4.0,183.0,671.0,135.0
153,154.0,Andy Sullivan,35.37433155080214,11.0,36.0,9.0,0.0,0.0,561779.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,3.0,114.0,402.0,118.0
154,155.0,Tom Hoge,28.0,26.0,77.0,13.0,2.0,0.0,561559.0,289.5,55.8,62.5,1.77,50.0,9.0,255.0,869.0,216.0
155,156.0,Ernie Els,48.0,21.0,66.0,12.0,1.0,0.0,559024.0,292.8,52.9,61.2,1.76,41.9,9.0,218.0,725.0,204.0
156,157.0,Bronson Burgoon,35.37433155080214,27.0,79.0,15.0,0.0,0.0,557020.0,293.1,57.3,66.2,1.8,47.7,9.0,256.0,925.0,210.0
157,158.0,Michael Thompson,33.0,23.0,68.0,12.0,1.0,0.0,521983.0,291.4,60.6,66.2,1.77,52.4,7.0,262.0,742.0,180.0
158,159.0,Jamie Donaldson,42.0,13.0,41.0,10.0,0.0,0.0,520052.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,3.0,124.0,470.0,128.0
159,160.0,Ross Fisher,37.0,4.0,14.0,3.0,1.0,0.0,518643.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,47.0,164.0,37.0
160,161.0,Tyler Aldridge,33.0,28.0,79.0,13.0,0.0,0.0,517738.0,285.2,58.0,65.5,1.8,53.2,6.0,262.0,910.0,221.0
161,162.0,Sam Saunders,30.0,24.0,65.0,9.0,1.0,0.0,510079.0,291.8,59.8,64.4,1.79,47.9,5.0,222.0,729.0,188.0
162,163.0,Chesson Hadley,30.0,27.0,79.0,13.0,0.0,0.0,503993.0,296.5,56.6,65.3,1.78,47.1,3.0,286.0,866.0,238.0
163,164.0,Stuart Appleby,46.0,23.0,69.0,13.0,0.0,0.0,500214.0,282.7,62.2,61.4,1.75,57.3,4.0,233.0,808.0,181.0
164,165.0,Greg Owen,46.0,29.0,81.0,13.0,1.0,0.0,484955.0,297.7,59.2,69.8,1.82,40.5,7.0,278.0,910.0,228.0
165,166.0,Cameron Smith,24.0,24.0,69.0,12.0,0.0,0.0,477843.0,286.3,59.2,62.7,1.77,55.3,2.0,231.0,774.0,202.0
166,167.0,Bryson DeChambeau,24.0,12.0,38.0,7.0,1.0,0.0,476621.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,133.0,423.0,116.0
167,168.0,Rob Oppenheim,35.37433155080214,21.0,63.0,11.0,1.0,0.0,462427.0,281.2,55.3,63.6,1.79,45.6,5.0,193.0,742.0,174.0
168,169.0,Steven Bowditch,34.0,26.0,71.0,11.0,1.0,0.0,458891.0,288.9,43.0,54.5,1.78,57.4,4.0,214.0,735.0,241.0
169,170.0,Camilo Villegas,36.0,27.0,79.0,14.0,0.0,0.0,450056.0,287.0,52.2,62.1,1.78,45.3,7.0,264.0,899.0,214.0
170,171.0,Brice Garnett,34.0,15.0,41.0,6.0,2.0,0.0,446565.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,154.0,467.0,100.0
171,172.0,Stewart Cink,44.0,19.0,61.0,11.0,0.0,0.0,437855.0,296.9,58.4,70.4,1.81,43.8,6.0,216.0,698.0,162.0
172,173.0,Luke Guthrie,28.0,19.0,55.0,9.0,1.0,0.0,427442.0,289.3,55.5,63.1,1.73,50.7,7.0,200.0,621.0,137.0
173,174.0,Jason Gore,43.0,27.0,74.0,12.0,0.0,0.0,416654.0,289.2,63.6,66.5,1.78,42.6,7.0,256.0,844.0,185.0
174,175.0,Will MacKenzie,43.0,26.0,80.0,14.0,1.0,0.0,416033.0,285.6,60.8,66.4,1.79,46.4,1.0,267.0,930.0,215.0
175,176.0,Brendon de Jonge,37.0,30.0,81.0,11.0,0.0,0.0,415583.0,287.5,59.2,65.6,1.78,52.7,4.0,267.0,946.0,215.0
176,177.0,Jeff Overton,34.0,25.0,66.0,10.0,1.0,0.0,410246.0,285.0,59.3,63.9,1.81,43.7,2.0,212.0,766.0,168.0
177,178.0,Kelly Kraft,29.0,20.0,59.0,10.0,1.0,0.0,403437.0,289.8,60.4,67.4,1.77,47.9,6.0,211.0,670.0,157.0
178,179.0,Geoff Ogilvy,40.0,22.0,59.0,8.0,1.0,0.0,397595.0,291.9,61.2,63.7,1.78,45.5,7.0,198.0,662.0,173.0
179,180.0,Bernd Wiesberger,32.0,11.0,30.0,6.0,0.0,0.0,390674.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,88.0,358.0,76.0
180,181.0,Scott Langley,29.0,22.0,63.0,10.0,0.0,0.0,380025.0,285.7,64.8,63.9,1.81,52.7,4.0,197.0,749.0,172.0
181,182.0,Andrew Landry,35.37433155080214,18.0,49.0,7.0,1.0,0.0,373980.0,294.7,65.6,64.6,1.79,44.4,4.0,159.0,582.0,119.0
182,183.0,Ian Poulter,42.0,13.0,45.0,9.0,1.0,0.0,370256.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,4.0,126.0,535.0,117.0
183,184.0,Bobby Wyatt,35.37433155080214,6.0,16.0,3.0,1.0,0.0,353348.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,61.0,177.0,44.0
184,185.0,Chris Wood,30.0,8.0,23.0,6.0,0.0,0.0,348340.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,4.0,65.0,254.0,61.0
185,186.0,Thomas Aiken,34.0,23.0,66.0,11.0,0.0,0.0,347686.0,290.5,72.4,70.2,1.83,44.1,6.0,217.0,768.0,184.0
186,187.0,Wes Roach,29.0,21.0,55.0,8.0,0.0,0.0,342098.0,294.7,61.0,63.2,1.76,43.7,5.0,196.0,606.0,159.0
187,188.0,Andrew Johnston,35.37433155080214,4.0,16.0,4.0,1.0,0.0,336762.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
188,189.0,Scott Pinckney,29.0,29.0,85.0,15.0,0.0,0.0,332533.0,296.8,63.1,69.0,1.8,39.8,10.0,303.0,944.0,243.0
189,190.0,Thongchai Jaidee,48.0,8.0,24.0,6.0,0.0,0.0,326950.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
190,191.0,Cameron Percy,43.0,15.0,45.0,9.0,0.0,0.0,313456.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,5.0,151.0,529.0,113.0
191,192.0,Mark Wilson,43.0,21.0,62.0,11.0,0.0,0.0,306866.0,274.7,66.2,65.0,1.81,55.0,3.0,187.0,739.0,169.0
192,193.0,D.A. Points,41.0,18.0,51.0,9.0,0.0,0.0,305250.0,282.3,59.5,65.4,1.79,43.0,3.0,185.0,561.0,155.0
193,194.0,Dawie van der Walt,35.0,25.0,70.0,11.0,0.0,0.0,301697.0,290.2,56.9,66.8,1.78,38.2,9.0,243.0,777.0,213.0
194,195.0,Tim Herron,48.0,14.0,41.0,7.0,0.0,0.0,297238.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,132.0,475.0,117.0
195,196.0,Henrik Norlander,31.0,21.0,67.0,13.0,0.0,0.0,290889.0,288.1,63.4,68.2,1.78,50.0,6.0,231.0,788.0,162.0
196,197.0,Justin Leonard,45.0,13.0,40.0,7.0,0.0,0.0,288428.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,1.0,120.0,470.0,114.0
197,198.0,J.J. Henry,43.0,24.0,66.0,11.0,0.0,0.0,280674.0,287.3,59.3,67.5,1.84,47.7,4.0,182.0,788.0,200.0
198,199.0,Brian Gay,46.0,13.0,34.0,4.0,1.0,0.0,280619.0,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
199,200.0,Angel Cabrera,48.0,22.0,63.0,12.0,0.0,0.0,277118.0,294.6,58.1,63.1,1.82,42.9,3.0,191.0,706.0,182.0
200,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
201,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
202,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
203,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
204,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
205,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
206,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
207,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
208,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
209,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
210,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
211,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
212,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
213,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
214,,,35.37433155080214,,,,,,,291.1284023668639,60.33313609467455,65.80059171597632,1.7724260355029584,49.93727810650888,,,,
