,TOTAL VALUE ,TAX,LOT SQFT ,YR BUILT,GROSS AREA ,LIVING AREA,FLOORS ,ROOMS,BEDROOMS ,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,living area by total value
TOTAL VALUE ,1,,,,,,,,,,,,,
TAX,0.999999941,1,,,,,,,,,,,,
LOT SQFT ,0.348437198,0.348459712,1,,,,,,,,,,,
YR BUILT,0.401508091,0.401509672,-0.127256467,1,,,,,,,,,,
GROSS AREA ,0.740422232,0.740404763,0.20050428,0.202484722,1,,,,,,,,,
LIVING AREA,0.734390166,0.7343815,0.079910361,0.378015135,0.786492189,1,,,,,,,,
FLOORS ,0.348932024,0.348929589,-0.144247269,-0.046612718,0.205865074,0.314260931,1,,,,,,,
ROOMS,0.500093585,0.500072729,0.093775105,0.191303702,0.471504151,0.664825234,0.252970496,1,,,,,,
BEDROOMS ,0.458951144,0.458903752,0.082324045,0.244494411,0.352167108,0.575456399,0.239450509,0.676556305,1,,,,,
FULL BATH,0.515341893,0.515320597,-0.001375232,0.332654831,0.428195369,0.447618839,0.226020859,0.404966521,0.360661422,1,,,,
HALF BATH,0.326093676,0.326105874,0.015593687,0.324897205,0.218718438,0.358847668,0.221141922,0.185625545,0.204366584,-0.13185328,1,,,
KITCHEN,0.003492054,0.003511587,0.056793396,0.050712935,0.006772761,0.077575238,-0.192460857,0.227034956,0.030714413,0.095715257,-0.078517297,1,,
FIREPLACE,0.167399212,0.167413489,-0.052069474,0.530847891,0.126959642,0.173980454,-0.213398104,0.031777011,0.10840316,0.109722008,0.188455585,0.055862919,1,
living area by total value,0.029058932,0.029045004,-0.241598411,0.158752101,0.352313765,0.691485035,0.129941488,0.451725582,0.379058989,0.116950704,0.212947858,0.123389421,0.073747494,1